game_id,season,date,away_team,away_score,home_team,home_score,result,a_eFGp,a_FTr,a_ORBp,a_TOVp,h_eFGp,h_FTr,h_ORBp,h_TOVp
131410290001,1314,2013-10-29,ORL,87,IND,97,1,,,,,,,,
131410290002,1314,2013-10-29,CHI,95,MIA,107,1,,,,,,,,
131410290003,1314,2013-10-29,LAC,103,LAL,116,1,,,,,,,,
131410300004,1314,2013-10-30,BRK,94,CLE,98,1,,,,,,,,
131410300005,1314,2013-10-30,BOS,87,TOR,93,1,,,,,,,,
131410300006,1314,2013-10-30,MIA,110,PHI,114,1,0.5902777777777778,0.3055555555555556,0.14300000000000002,0.17516543402101983,,,,
131410300007,1314,2013-10-30,WAS,102,DET,113,1,,,,,,,,
131410300008,1314,2013-10-30,MIL,83,NYK,90,1,,,,,,,,
131410300009,1314,2013-10-30,IND,95,NOP,90,0,0.528169014084507,0.30985915492957744,0.278,0.1903311762466692,,,,
131410300010,1314,2013-10-30,ORL,115,MIN,120,1,0.43548387096774194,0.06451612903225806,0.277,0.1486013986013986,,,,
131410300011,1314,2013-10-30,CHO,83,HOU,96,1,,,,,,,,
131410300012,1314,2013-10-30,MEM,94,SAS,101,1,,,,,,,,
131410300013,1314,2013-10-30,ATL,109,DAL,118,1,,,,,,,,
131410300014,1314,2013-10-30,OKC,101,UTA,98,0,,,,,,,,
131410300015,1314,2013-10-30,POR,91,PHO,104,1,,,,,,,,
131410300016,1314,2013-10-30,DEN,88,SAC,90,1,,,,,,,,
131410300017,1314,2013-10-30,LAL,94,GSW,125,1,0.5268817204301075,0.1935483870967742,0.375,0.15283140283140284,,,,
131410310018,1314,2013-10-31,NYK,81,CHI,82,1,0.528169014084507,0.2112676056338028,0.188,0.21894904458598724,0.463855421686747,0.21686746987951808,0.239,0.16198704103671704
131410310019,1314,2013-10-31,GSW,115,LAC,126,1,0.622093023255814,0.20930232558139536,0.189,0.13498920086393087,0.5421686746987951,0.1566265060240964,0.227,0.14662756598240467
131411010020,1314,2013-11-01,CLE,84,CHO,90,1,0.44642857142857145,0.27380952380952384,0.364,0.10003637686431428,0.3888888888888889,0.14444444444444443,0.231,0.06616257088846882
131411010021,1314,2013-11-01,NOP,90,ORL,110,1,0.4294117647058823,0.2,0.326,0.13731233980227023,0.4792746113989637,0.08808290155440414,0.2815,0.14563914780292944
131411010022,1314,2013-11-01,PHI,109,WAS,102,0,0.5875,0.25,0.25,0.1658069270449521,0.5,0.3076923076923077,0.289,0.14803849000740193
131411010023,1314,2013-11-01,TOR,95,ATL,102,1,0.47093023255813954,0.13953488372093023,0.42200000000000004,0.15028288543140028,0.5394736842105263,0.35526315789473684,0.125,0.15682656826568264
131411010024,1314,2013-11-01,MIL,105,BOS,98,0,0.49324324324324326,0.13513513513513514,0.152,0.2248728979272585,0.5075757575757576,0.30303030303030304,0.19399999999999998,0.21834061135371177
131411010025,1314,2013-11-01,MIA,100,BRK,101,1,0.589171974522293,0.20382165605095542,0.161,0.1741340361445783,0.4573170731707317,0.23170731707317074,0.22,0.13945704722945332
131411010026,1314,2013-11-01,DAL,105,HOU,113,1,0.6428571428571429,0.24675324675324675,0.2,0.1859427296392711,0.5328947368421053,0.19736842105263158,0.359,0.17214996174445293
131411010027,1314,2013-11-01,DET,108,MEM,111,1,0.5576923076923077,0.3333333333333333,0.324,0.16286644951140067,0.46236559139784944,0.08602150537634409,0.23399999999999999,0.12323943661971831
